Sl. No.,State/UT,Cases Registered for Possession of drugs for Trafficking - 2018,Cases Registered for Possession of drugs for Trafficking - 2019,Cases Registered for Possession of drugs for Trafficking - 2020
1,Andhra Pradesh,365,431,602
2,Arunachal Pradesh,50,46,36
3,Assam,247,372,501
4,Bihar,138,123,83
5,Chhattisgarh,656,681,815
6,Goa,90,70,70
7,Gujarat,90,177,191
8,Haryana,1100,1138,1277
9,Himachal Pradesh,931,1061,1148
10,Jharkhand,74,81,172
11,Karnataka,513,609,956
12,Kerala,629,654,386
13,Madhya Pradesh,1081,1585,1644
14,Maharashtra,487,959,647
15,Manipur,246,200,203
16,Meghalaya,34,55,53
17,Mizoram,136,32,50
18,Nagaland,37,60,52
19,Odisha,427,738,1031
20,Punjab,5729,5927,4039
21,Rajasthan,1203,1587,1735
22,Sikkim,4,3,11
23,Tamil Nadu,2139,2215,1252
24,Telangana,140,258,245
25,Tripura,419,271,273
26,Uttar Pradesh,4789,5002,5889
27,Uttarakhand,349,258,607
28,West Bengal,1226,1055,1217
Total State(S),Total State(S),23329,25648,25185
29,Andman and Nicobar Islands,0,1,11
30,Chandigarh,178,226,134
31,Dadra and Nagar Haveli and Daman and Diu,0,0,1
32,Delhi,235,306,290
33,Jammu and Kashmir,680,918,933
34,Ladakh,NA,NA,0
35,Lakshadweep,0,0,0
36,Puducherry,0,6,6
Total UT(s),Total UT(s),1093,1457,1375
Total (All India),Total (All India),24422,27105,26560
