Sl.No. ,Zone,DRUG SEIZED,Quantity of Drugs/Contraband 
1,Ahmedabad,Ganja,450 gms
2,Mumbai,"LSD, Ganja ",0.3 gms(20 blots) of LSD
,Mumbai,"LSD, Ganja ",0.95 grams of Ganja
3,Banglore,MDMA ,142GRAMS
4,Mumbai,"LSD, Charas, Ganja ",150 blots(2.92g) of LSD
5,Mumbai,"LSD, Charas, Ganja ",30 gms of Ganja &
6,Mumbai,"LSD, Charas, Ganja ",32 gms of Charas
7,Kolkata, Ganja,110 gms
8,Kolkata, Ganja,105 gms
9,Kolkata, Ganja,140 gms
10,Kolkata, Ganja,140 gms
11,Kolkata, Ganja,110 gms
12,Kolkata, Ganja,220 gms
13,Kolkata, Ganja,220 gms
14,Kolkata, Ganja,230 gms
15,Kolkata, Ganja,110 gms
16,Kolkata, Ganja,470 gms
17,Kolkata, Ganja,105 gms
18,Kolkata, Ganja,230 gms
19,Kolkata, Ganja,100 gms
20,Kolkata, Ganja,115 gms
21,Kolkata, Ganja,110 gms
22,Kolkata, Ganja,75 gms
23,Kolkata, Ganja,205 gms
24,Kolkata, Ganja,115 gms
25,Kolkata, Ganja,120 gms
26,Kolkata, Ganja,205 gms
2,Kolkata, Ganja,820 gms
28,Kolkata, Ganja,550 gms
29,Kolkata, Ganja,950 gms
30,Kolkata, Ganja,580 gms
31,Kolkata, Ganja,960 gms
32,Kolkata, Ganja,750 gms
33,Kolkata, Ganja,900 gms
34,Kolkata, Ganja,920 gms
35,Kolkata, Ganja,115 gms
36,Kolkata, Ganja,110 gms
37,Kolkata, Ganja,890 gms
38,Kolkata, Ganja,2.1 kg 
39,Kolkata, Ganja,440 gms
40,Kolkata, Ganja,2.75 kg 
41,Kolkata, Ganja,2.2 kg 
42,Kolkata, Ganja,510 gms
43,Kolkata, Ganja,415 gms
44,Kolkata, Ganja,890 gms
45,Kolkata, Ganja,450 gms
46,Kolkata, Ganja,1.370 kg 
47,Kolkata, Ganja,450 gms
48,Kolkata, Ganja,580 gms
49,Kolkata, Ganja,500 gms
50,Delhi, Ganja Heroin Charas ,"Rs. 15,52,300/- Cash"
51,Delhi, Ganja Heroin Charas ,6.196 kg Ganja
52,Delhi, Ganja Heroin Charas ,16.45 gms& 363.5 Tabs MDMA
53,Delhi, Ganja Heroin Charas ,6 gms Heroin
54,Delhi, Ganja Heroin Charas ,145.6 gms Charas
